datestart datestop duration tstart tstop label mag_start mag_stop
1998:365:23:30:01.000 1999:279:14:30:00.000 24073200.000 31534264.184 55607464.184 "partial mitigation" -2.9 -2.0
1999:279:14:30:00.000 1999:311:17:30:00.000 2775600.000 55607464.184 58383064.184 "full mitigation" -5.0 -2.9
1999:311:17:30:00.000 2001:116:08:30:00.000 46278000.000 58383064.184 104661064.184 "partial mitigation" -2.9 -2.0
2001:116:08:30:00.000 2001:226:20:30:00.000 9547200.000 104661064.184 114208264.184 "instrument notify" -2.0 0.0
2001:226:20:30:00.000 2002:120:17:30:00.000 22366800.000 114208264.184 136575064.184 "partial mitigation" -2.9 -2.0
2002:120:17:30:00.000 2002:289:19:30:00.000 14608800.000 136575064.184 151183864.184 "instrument notify" -2.0 0.0
2002:289:19:30:00.000 2003:133:23:30:00.000 18072000.000 151183864.184 169255864.184 "partial mitigation" -2.9 -2.0
2003:133:23:30:00.000 2003:337:11:30:00.000 17582400.000 169255864.184 186838264.184 "instrument notify" -2.0 0.0
2003:337:11:30:00.000 2004:154:12:30:00.000 15728400.000 186838264.184 202566664.184 "partial mitigation" -2.9 -2.0
2004:154:12:30:00.000 2005:008:00:30:00.000 18964800.000 202566664.184 221531464.184 "instrument notify" -2.0 0.0
2005:008:00:30:00.000 2005:182:08:30:00.000 15062400.000 221531464.184 236593864.184 "partial mitigation" -2.9 -2.0
2005:182:08:30:00.000 2006:035:10:30:00.000 18842401.000 236593864.184 255436265.184 "instrument notify" -2.0 0.0
2006:035:10:30:00.000 2006:220:22:30:00.000 16027200.000 255436265.184 271463465.184 "partial mitigation" -2.9 -2.0
2006:220:22:30:00.000 2007:055:06:30:00.000 17222400.000 271463465.184 288685865.184 "instrument notify" -2.0 0.0
2007:055:06:30:00.000 2007:270:14:30:00.000 18604800.000 288685865.184 307290665.184 "partial mitigation" -2.9 -2.0
2007:270:14:30:00.000 2008:068:06:30:00.000 14054400.000 307290665.184 321345065.184 "instrument notify" -2.0 0.0
2008:068:06:30:00.000 2008:334:12:30:00.000 23004000.000 321345065.184 344349065.184 "partial mitigation" -2.9 -2.0
2008:334:12:30:00.000 2009:071:13:30:00.000 8902801.000 344349065.184 353251866.184 "instrument notify" -2.0 0.0
2009:071:13:30:00.000 2010:246:16:30:00.000 46666800.000 353251866.184 399918666.184 "partial mitigation" -2.9 -2.0
2010:246:16:30:00.000 2010:281:18:30:00.000 3031200.000 399918666.184 402949866.184 "full mitigation" -5.0 -2.9
2010:281:18:30:00.000 2011:286:15:30:00.000 31957200.000 402949866.184 434907066.184 "partial mitigation" -2.9 -2.0
2011:286:15:30:00.000 2011:314:23:30:00.000 2448000.000 434907066.184 437355066.184 "full mitigation" -5.0 -2.9
2011:314:23:30:00.000 2013:115:16:30:00.000 45939601.000 437355066.184 483294667.184 "partial mitigation" -2.9 -2.0
2013:115:16:30:00.000 2013:237:13:30:00.000 10530000.000 483294667.184 493824667.184 "instrument notify" -2.0 0.0
2013:237:13:30:00.000 2014:121:18:30:00.000 21531600.000 493824667.184 515356267.184 "partial mitigation" -2.9 -2.0
2014:121:18:30:00.000 2014:297:14:30:00.000 15192000.000 515356267.184 530548267.184 "instrument notify" -2.0 0.0
2014:297:14:30:00.000 2015:136:04:30:00.000 17589600.000 530548267.184 548137867.184 "partial mitigation" -2.9 -2.0
2015:136:04:30:00.000 2015:343:08:30:00.000 17899201.000 548137867.184 566037068.184 "instrument notify" -2.0 0.0
2015:343:08:30:00.000 2016:157:21:30:00.000 15512400.000 566037068.184 581549468.184 "partial mitigation" -2.9 -2.0
2016:157:21:30:00.000 2017:012:08:30:00.000 19047601.000 581549468.184 600597069.184 "instrument notify" -2.0 0.0
2017:012:08:30:00.000 2017:187:03:30:00.000 15102000.000 600597069.184 615699069.184 "partial mitigation" -2.9 -2.0
2017:187:03:30:00.000 2018:038:12:30:00.000 18694800.000 615699069.184 634393869.184 "instrument notify" -2.0 0.0
2018:038:12:30:00.000 2018:227:08:30:00.000 16315200.000 634393869.184 650709069.184 "partial mitigation" -2.9 -2.0
2018:227:08:30:00.000 2019:057:06:30:00.000 16840800.000 650709069.184 667549869.184 "instrument notify" -2.0 0.0
2019:057:06:30:00.000 2019:278:20:30:00.000 19144800.000 667549869.184 686694669.184 "partial mitigation" -2.9 -2.0
2019:278:20:30:00.000 2020:069:06:30:00.000 13428000.000 686694669.184 700122669.184 "instrument notify" -2.0 0.0
2020:069:06:30:00.000 2020:345:12:30:00.000 23868000.000 700122669.184 723990669.184 "partial mitigation" -2.9 -2.0
2020:345:12:30:00.000 2021:070:19:30:00.000 7887600.000 723990669.184 731878269.184 "instrument notify" -2.0 0.0
2021:070:19:30:00.000 2022:251:08:30:00.000 47134800.000 731878269.184 779013069.184 "partial mitigation" -2.9 -2.0
2022:251:08:30:00.000 2022:287:09:30:00.000 3114000.000 779013069.184 782127069.184 "full mitigation" -5.0 -2.9
2022:287:09:30:00.000 2023:296:04:30:00.000 32295600.000 782127069.184 814422669.184 "partial mitigation" -2.9 -2.0
2023:296:04:30:00.000 2023:315:13:30:00.000 1674000.000 814422669.184 816096669.184 "full mitigation" -5.0 -2.9
2023:315:13:30:00.000 2024:127:00:30:00.000 15246000.000 816096669.184 831342669.184 "partial mitigation" -2.9 -2.0
2024:127:00:30:00.000 2024:163:22:30:00.000 3189600.000 831342669.184 834532269.184 "instrument notify" -2.0 0.0
2024:163:22:30:00.000 2025:115:07:30:00.000 27421200.000 834532269.184 861953469.184 "partial mitigation" -2.9 -2.0
2025:115:07:30:00.000 2025:247:07:30:00.000 11404800.000 861953469.184 873358269.184 "instrument notify" -2.0 0.0
2025:247:07:30:00.000 2026:123:05:30:00.000 20815200.000 873358269.184 894173469.184 "partial mitigation" -2.9 -2.0
2026:123:05:30:00.000 2026:304:13:30:00.000 15667200.000 894173469.184 909840669.184 "instrument notify" -2.0 0.0
2026:304:13:30:00.000 2027:138:20:30:00.000 17218800.000 909840669.184 927059469.184 "partial mitigation" -2.9 -2.0
2027:138:20:30:00.000 2027:348:12:30:00.000 18115200.000 927059469.184 945174669.184 "instrument notify" -2.0 0.0
2027:348:12:30:00.000 2028:161:20:30:00.000 15408000.000 945174669.184 960582669.184 "partial mitigation" -2.9 -2.0
2028:161:20:30:00.000 2029:016:04:30:00.000 19036800.000 960582669.184 979619469.184 "instrument notify" -2.0 0.0
2029:016:04:30:00.000 2029:192:10:30:00.000 15228000.000 979619469.184 994847469.184 "partial mitigation" -2.9 -2.0
2029:192:10:30:00.000 2030:041:07:30:00.000 18478800.000 994847469.184 1013326269.184 "instrument notify" -2.0 0.0
2030:041:07:30:00.000 2030:234:00:30:00.000 16650000.000 1013326269.184 1029976269.184 "partial mitigation" -2.9 -2.0
2030:234:00:30:00.000 2031:059:07:30:00.000 16441200.000 1029976269.184 1046417469.184 "instrument notify" -2.0 0.0
2031:059:07:30:00.000 2031:286:23:30:00.000 19670400.000 1046417469.184 1066087869.184 "partial mitigation" -2.9 -2.0
2031:286:23:30:00.000 2032:070:14:30:00.000 12841200.000 1066087869.184 1078929069.184 "instrument notify" -2.0 0.0
2032:070:14:30:00.000 2032:356:02:30:00.000 24667200.000 1078929069.184 1103596269.184 "partial mitigation" -2.9 -2.0
2032:356:02:30:00.000 2033:070:11:30:00.000 6944400.000 1103596269.184 1110540669.184 "instrument notify" -2.0 0.0
2033:070:11:30:00.000 2034:256:09:30:00.000 47599200.000 1110540669.184 1158139869.184 "partial mitigation" -2.9 -2.0
2034:256:09:30:00.000 2034:292:12:30:00.000 3121200.000 1158139869.184 1161261069.184 "full mitigation" -5.0 -2.9
2034:292:12:30:00.000 2036:121:23:30:00.000 48337200.000 1161261069.184 1209598269.184 "partial mitigation" -2.9 -2.0
2036:121:23:30:00.000 2036:179:18:30:00.000 4993200.000 1209598269.184 1214591469.184 "instrument notify" -2.0 0.0
2036:179:18:30:00.000 2037:116:02:30:00.000 26121600.000 1214591469.184 1240713069.184 "partial mitigation" -2.9 -2.0
2037:116:02:30:00.000 2037:255:20:30:00.000 12074400.000 1240713069.184 1252787469.184 "instrument notify" -2.0 0.0
2037:255:20:30:00.000 2038:125:06:30:00.000 20253600.000 1252787469.184 1273041069.184 "partial mitigation" -2.9 -2.0
2038:125:06:30:00.000 2038:311:00:30:00.000 16048800.000 1273041069.184 1289089869.184 "instrument notify" -2.0 0.0
2038:311:00:30:00.000 2039:141:21:30:00.000 16923600.000 1289089869.184 1306013469.184 "partial mitigation" -2.9 -2.0
2039:141:21:30:00.000 2039:353:12:30:00.000 18284400.000 1306013469.184 1324297869.184 "instrument notify" -2.0 0.0
2039:353:12:30:00.000 2040:165:22:30:00.000 15328800.000 1324297869.184 1339626669.184 "partial mitigation" -2.9 -2.0
2040:165:22:30:00.000 2041:001:00:30:00.000 17373600.000 1339626669.184 1357000269.184 "instrument notify" -2.0 0.0
