datestart datestop duration tstart tstop label mag_start mag_stop
1998:365:23:30:01.000 1999:051:06:30:00.000 4345200.000 31534264.184 35879464.184 "no action" 0.0 40.0
1999:051:06:30:00.000 1999:051:10:30:00.000 14400.000 35879464.184 35893864.184 "instrument notify" -2.0 0.0
1999:051:10:30:00.000 1999:052:05:30:00.000 68400.000 35893864.184 35962264.184 "no action" 0.0 40.0
1999:052:05:30:00.000 1999:052:14:30:00.000 32400.000 35962264.184 35994664.184 "instrument notify" -2.0 0.0
1999:052:14:30:00.000 1999:053:04:30:00.000 50400.000 35994664.184 36045064.184 "no action" 0.0 40.0
1999:053:04:30:00.000 1999:053:17:30:00.000 46800.000 36045064.184 36091864.184 "instrument notify" -2.0 0.0
1999:053:17:30:00.000 1999:053:22:30:00.000 18000.000 36091864.184 36109864.184 "no action" 0.0 40.0
1999:053:22:30:00.000 1999:053:23:30:00.000 3600.000 36109864.184 36113464.184 "instrument notify" -2.0 0.0
1999:053:23:30:00.000 1999:054:03:30:00.000 14400.000 36113464.184 36127864.184 "no action" 0.0 40.0
1999:054:03:30:00.000 1999:054:19:30:00.000 57600.000 36127864.184 36185464.184 "instrument notify" -2.0 0.0
1999:054:19:30:00.000 1999:054:20:30:00.000 3600.000 36185464.184 36189064.184 "no action" 0.0 40.0
1999:054:20:30:00.000 1999:207:21:30:00.000 13222800.000 36189064.184 49411864.184 "instrument notify" -2.0 0.0
1999:207:21:30:00.000 1999:207:22:30:00.000 3600.000 49411864.184 49415464.184 "no action" 0.0 40.0
1999:207:22:30:00.000 1999:208:01:30:00.000 10800.000 49415464.184 49426264.184 "instrument notify" -2.0 0.0
1999:208:01:30:00.000 1999:208:02:30:00.000 3600.000 49426264.184 49429864.184 "no action" 0.0 40.0
1999:208:02:30:00.000 1999:208:19:30:00.000 61200.000 49429864.184 49491064.184 "instrument notify" -2.0 0.0
1999:208:19:30:00.000 1999:208:20:30:00.000 3600.000 49491064.184 49494664.184 "no action" 0.0 40.0
1999:208:20:30:00.000 1999:208:21:30:00.000 3600.000 49494664.184 49498264.184 "instrument notify" -2.0 0.0
1999:208:21:30:00.000 1999:208:23:30:00.000 7200.000 49498264.184 49505464.184 "no action" 0.0 40.0
1999:208:23:30:00.000 1999:209:01:30:00.000 7200.000 49505464.184 49512664.184 "instrument notify" -2.0 0.0
1999:209:01:30:00.000 1999:209:03:30:00.000 7200.000 49512664.184 49519864.184 "no action" 0.0 40.0
1999:209:03:30:00.000 1999:209:19:30:00.000 57600.000 49519864.184 49577464.184 "instrument notify" -2.0 0.0
1999:209:19:30:00.000 1999:210:05:30:00.000 36000.000 49577464.184 49613464.184 "no action" 0.0 40.0
1999:210:05:30:00.000 1999:210:19:30:00.000 50400.000 49613464.184 49663864.184 "instrument notify" -2.0 0.0
1999:210:19:30:00.000 1999:211:07:30:00.000 43200.000 49663864.184 49707064.184 "no action" 0.0 40.0
1999:211:07:30:00.000 1999:211:18:30:00.000 39600.000 49707064.184 49746664.184 "instrument notify" -2.0 0.0
1999:211:18:30:00.000 1999:212:08:30:00.000 50400.000 49746664.184 49797064.184 "no action" 0.0 40.0
1999:212:08:30:00.000 1999:212:18:30:00.000 36000.000 49797064.184 49833064.184 "instrument notify" -2.0 0.0
1999:212:18:30:00.000 1999:213:09:30:00.000 54000.000 49833064.184 49887064.184 "no action" 0.0 40.0
1999:213:09:30:00.000 1999:213:19:30:00.000 36000.000 49887064.184 49923064.184 "instrument notify" -2.0 0.0
1999:213:19:30:00.000 1999:214:11:30:00.000 57600.000 49923064.184 49980664.184 "no action" 0.0 40.0
1999:214:11:30:00.000 1999:214:19:30:00.000 28800.000 49980664.184 50009464.184 "instrument notify" -2.0 0.0
1999:214:19:30:00.000 1999:215:12:30:00.000 61200.000 50009464.184 50070664.184 "no action" 0.0 40.0
1999:215:12:30:00.000 1999:215:17:30:00.000 18000.000 50070664.184 50088664.184 "instrument notify" -2.0 0.0
1999:215:17:30:00.000 1999:216:13:30:00.000 72000.000 50088664.184 50160664.184 "no action" 0.0 40.0
1999:216:13:30:00.000 1999:216:16:30:00.000 10800.000 50160664.184 50171464.184 "instrument notify" -2.0 0.0
1999:216:16:30:00.000 1999:217:14:30:00.000 79200.000 50171464.184 50250664.184 "no action" 0.0 40.0
1999:217:14:30:00.000 1999:217:16:30:00.000 7200.000 50250664.184 50257864.184 "instrument notify" -2.0 0.0
1999:217:16:30:00.000 2001:079:14:30:00.000 51228000.000 50257864.184 101485864.184 "no action" 0.0 40.0
2001:079:14:30:00.000 2001:079:15:30:00.000 3600.000 101485864.184 101489464.184 "instrument notify" -2.0 0.0
2001:079:15:30:00.000 2001:080:13:30:00.000 79200.000 101489464.184 101568664.184 "no action" 0.0 40.0
2001:080:13:30:00.000 2001:080:19:30:00.000 21600.000 101568664.184 101590264.184 "instrument notify" -2.0 0.0
2001:080:19:30:00.000 2001:081:13:30:00.000 64800.000 101590264.184 101655064.184 "no action" 0.0 40.0
2001:081:13:30:00.000 2001:081:22:30:00.000 32400.000 101655064.184 101687464.184 "instrument notify" -2.0 0.0
2001:081:22:30:00.000 2001:082:12:30:00.000 50400.000 101687464.184 101737864.184 "no action" 0.0 40.0
2001:082:12:30:00.000 2001:083:01:30:00.000 46800.000 101737864.184 101784664.184 "instrument notify" -2.0 0.0
2001:083:01:30:00.000 2001:083:11:30:00.000 36000.000 101784664.184 101820664.184 "no action" 0.0 40.0
2001:083:11:30:00.000 2001:084:03:30:00.000 57600.000 101820664.184 101878264.184 "instrument notify" -2.0 0.0
2001:084:03:30:00.000 2001:084:04:30:00.000 3600.000 101878264.184 101881864.184 "no action" 0.0 40.0
2001:084:04:30:00.000 2001:084:06:30:00.000 7200.000 101881864.184 101889064.184 "instrument notify" -2.0 0.0
2001:084:06:30:00.000 2001:084:07:30:00.000 3600.000 101889064.184 101892664.184 "no action" 0.0 40.0
2001:084:07:30:00.000 2001:084:10:30:00.000 10800.000 101892664.184 101903464.184 "instrument notify" -2.0 0.0
2001:084:10:30:00.000 2001:084:11:30:00.000 3600.000 101903464.184 101907064.184 "no action" 0.0 40.0
2001:084:11:30:00.000 2001:149:09:30:00.000 5608800.000 101907064.184 107515864.184 "instrument notify" -2.0 0.0
2001:149:09:30:00.000 2001:149:12:30:00.000 10800.000 107515864.184 107526664.184 "partial mitigation" -2.9 -2.0
2001:149:12:30:00.000 2001:150:09:30:00.000 75600.000 107526664.184 107602264.184 "instrument notify" -2.0 0.0
2001:150:09:30:00.000 2001:150:17:30:00.000 28800.000 107602264.184 107631064.184 "partial mitigation" -2.9 -2.0
2001:150:17:30:00.000 2001:151:07:30:00.000 50400.000 107631064.184 107681464.184 "instrument notify" -2.0 0.0
2001:151:07:30:00.000 2001:151:21:30:00.000 50400.000 107681464.184 107731864.184 "partial mitigation" -2.9 -2.0
2001:151:21:30:00.000 2001:151:23:30:00.000 7200.000 107731864.184 107739064.184 "instrument notify" -2.0 0.0
2001:151:23:30:00.000 2001:152:00:30:00.000 3600.000 107739064.184 107742664.184 "partial mitigation" -2.9 -2.0
2001:152:00:30:00.000 2001:152:01:30:00.000 3600.000 107742664.184 107746264.184 "instrument notify" -2.0 0.0
2001:152:01:30:00.000 2001:152:04:30:00.000 10800.000 107746264.184 107757064.184 "partial mitigation" -2.9 -2.0
2001:152:04:30:00.000 2001:152:06:30:00.000 7200.000 107757064.184 107764264.184 "instrument notify" -2.0 0.0
2001:152:06:30:00.000 2001:188:23:30:00.000 3171600.000 107764264.184 110935864.184 "partial mitigation" -2.9 -2.0
2001:188:23:30:00.000 2001:189:00:30:00.000 3600.000 110935864.184 110939464.184 "instrument notify" -2.0 0.0
2001:189:00:30:00.000 2001:189:03:30:00.000 10800.000 110939464.184 110950264.184 "partial mitigation" -2.9 -2.0
2001:189:03:30:00.000 2001:189:04:30:00.000 3600.000 110950264.184 110953864.184 "instrument notify" -2.0 0.0
2001:189:04:30:00.000 2001:189:20:30:00.000 57600.000 110953864.184 111011464.184 "partial mitigation" -2.9 -2.0
2001:189:20:30:00.000 2001:190:01:30:00.000 18000.000 111011464.184 111029464.184 "instrument notify" -2.0 0.0
2001:190:01:30:00.000 2001:190:02:30:00.000 3600.000 111029464.184 111033064.184 "partial mitigation" -2.9 -2.0
2001:190:02:30:00.000 2001:190:06:30:00.000 14400.000 111033064.184 111047464.184 "instrument notify" -2.0 0.0
2001:190:06:30:00.000 2001:190:19:30:00.000 46800.000 111047464.184 111094264.184 "partial mitigation" -2.9 -2.0
2001:190:19:30:00.000 2001:191:09:30:00.000 50400.000 111094264.184 111144664.184 "instrument notify" -2.0 0.0
2001:191:09:30:00.000 2001:191:19:30:00.000 36000.000 111144664.184 111180664.184 "partial mitigation" -2.9 -2.0
2001:191:19:30:00.000 2001:192:11:30:00.000 57600.000 111180664.184 111238264.184 "instrument notify" -2.0 0.0
2001:192:11:30:00.000 2001:192:17:30:00.000 21600.000 111238264.184 111259864.184 "partial mitigation" -2.9 -2.0
2001:192:17:30:00.000 2001:192:18:30:00.000 3600.000 111259864.184 111263464.184 "instrument notify" -2.0 0.0
2001:192:18:30:00.000 2001:192:19:30:00.000 3600.000 111263464.184 111267064.184 "partial mitigation" -2.9 -2.0
2001:192:19:30:00.000 2001:193:13:30:00.000 64800.000 111267064.184 111331864.184 "instrument notify" -2.0 0.0
2001:193:13:30:00.000 2001:193:15:30:00.000 7200.000 111331864.184 111339064.184 "partial mitigation" -2.9 -2.0
2001:193:15:30:00.000 2001:299:19:30:00.000 9172800.000 111339064.184 120511864.184 "instrument notify" -2.0 0.0
