datestart datestop duration tstart tstop label mag_start mag_stop
1998:365:23:30:01.000 1999:274:00:30:00.000 23590800.000 31534264.184 55125064.184 "no action" 0.0 40.0
1999:274:00:30:00.000 1999:345:17:30:00.000 6195600.000 55125064.184 61320664.184 "instrument notify" -2.0 0.0
1999:345:17:30:00.000 2000:260:15:30:00.000 24184800.000 61320664.184 85505464.184 "no action" 0.0 40.0
2000:260:15:30:00.000 2001:022:15:30:00.000 11059200.000 85505464.184 96564664.184 "instrument notify" -2.0 0.0
2001:022:15:30:00.000 2001:254:21:30:00.000 20066400.000 96564664.184 116631064.184 "no action" 0.0 40.0
2001:254:21:30:00.000 2002:057:14:30:00.000 14490000.000 116631064.184 131121064.184 "instrument notify" -2.0 0.0
2002:057:14:30:00.000 2002:156:16:30:00.000 8560800.000 131121064.184 139681864.184 "no action" 0.0 40.0
2002:156:16:30:00.000 2002:164:05:30:00.000 651600.000 139681864.184 140333464.184 "instrument notify" -2.0 0.0
2002:164:05:30:00.000 2002:261:01:30:00.000 8366400.000 140333464.184 148699864.184 "no action" 0.0 40.0
2002:261:01:30:00.000 2003:079:10:30:00.000 15843600.000 148699864.184 164543464.184 "instrument notify" -2.0 0.0
2003:079:10:30:00.000 2003:171:13:30:00.000 7959600.000 164543464.184 172503064.184 "no action" 0.0 40.0
2003:171:13:30:00.000 2003:179:09:30:00.000 676800.000 172503064.184 173179864.184 "instrument notify" -2.0 0.0
2003:179:09:30:00.000 2003:282:15:30:00.000 8920800.000 173179864.184 182100664.184 "no action" 0.0 40.0
2003:282:15:30:00.000 2004:085:06:30:00.000 14482800.000 182100664.184 196583464.184 "instrument notify" -2.0 0.0
2004:085:06:30:00.000 2004:189:17:30:00.000 9025200.000 196583464.184 205608664.184 "no action" 0.0 40.0
2004:189:17:30:00.000 2004:191:13:30:00.000 158400.000 205608664.184 205767064.184 "instrument notify" -2.0 0.0
2004:191:13:30:00.000 2004:316:22:30:00.000 10832400.000 205767064.184 216599464.184 "no action" 0.0 40.0
2004:316:22:30:00.000 2005:079:02:30:00.000 11073600.000 216599464.184 227673064.184 "instrument notify" -2.0 0.0
2005:079:02:30:00.000 2005:358:04:30:00.000 24112800.000 227673064.184 251785864.184 "no action" 0.0 40.0
2005:358:04:30:00.000 2006:065:10:30:00.000 6242401.000 251785864.184 258028265.184 "instrument notify" -2.0 0.0
2006:065:10:30:00.000 2007:039:06:30:00.000 29275200.000 258028265.184 287303465.184 "no action" 0.0 40.0
2007:039:06:30:00.000 2007:044:09:30:00.000 442800.000 287303465.184 287746265.184 "instrument notify" -2.0 0.0
2007:044:09:30:00.000 2015:142:14:30:00.000 260946002.000 287746265.184 548692267.184 "no action" 0.0 40.0
2015:142:14:30:00.000 2015:143:12:30:00.000 79200.000 548692267.184 548771467.184 "instrument notify" -2.0 0.0
2015:143:12:30:00.000 2016:152:06:30:00.000 32292001.000 548771467.184 581063468.184 "no action" 0.0 40.0
2016:152:06:30:00.000 2016:158:07:30:00.000 522000.000 581063468.184 581585468.184 "instrument notify" -2.0 0.0
2016:158:07:30:00.000 2017:163:00:30:00.000 32029201.000 581585468.184 613614669.184 "no action" 0.0 40.0
2017:163:00:30:00.000 2017:169:20:30:00.000 590400.000 613614669.184 614205069.184 "instrument notify" -2.0 0.0
2017:169:20:30:00.000 2018:176:01:30:00.000 32072400.000 614205069.184 646277469.184 "no action" 0.0 40.0
2018:176:01:30:00.000 2018:181:02:30:00.000 435600.000 646277469.184 646713069.184 "instrument notify" -2.0 0.0
2018:181:02:30:00.000 2019:189:20:30:00.000 32292000.000 646713069.184 679005069.184 "no action" 0.0 40.0
2019:189:20:30:00.000 2019:191:14:30:00.000 151200.000 679005069.184 679156269.184 "instrument notify" -2.0 0.0
2019:191:14:30:00.000 2028:283:10:30:00.000 291931200.000 679156269.184 971087469.184 "no action" 0.0 40.0
2028:283:10:30:00.000 2028:324:17:30:00.000 3567600.000 971087469.184 974655069.184 "instrument notify" -2.0 0.0
2028:324:17:30:00.000 2029:263:08:30:00.000 26319600.000 974655069.184 1000974669.184 "no action" 0.0 40.0
2029:263:08:30:00.000 2030:006:06:30:00.000 9324000.000 1000974669.184 1010298669.184 "instrument notify" -2.0 0.0
2030:006:06:30:00.000 2030:254:12:30:00.000 21448800.000 1010298669.184 1031747469.184 "no action" 0.0 40.0
2030:254:12:30:00.000 2031:045:11:30:00.000 13474800.000 1031747469.184 1045222269.184 "instrument notify" -2.0 0.0
2031:045:11:30:00.000 2031:151:07:30:00.000 9144000.000 1045222269.184 1054366269.184 "no action" 0.0 40.0
2031:151:07:30:00.000 2031:156:23:30:00.000 489600.000 1054366269.184 1054855869.184 "instrument notify" -2.0 0.0
2031:156:23:30:00.000 2031:254:19:30:00.000 8452800.000 1054855869.184 1063308669.184 "no action" 0.0 40.0
2031:254:19:30:00.000 2032:074:08:30:00.000 15944400.000 1063308669.184 1079253069.184 "instrument notify" -2.0 0.0
2032:074:08:30:00.000 2032:164:05:30:00.000 7765200.000 1079253069.184 1087018269.184 "no action" 0.0 40.0
2032:164:05:30:00.000 2032:174:00:30:00.000 846000.000 1087018269.184 1087864269.184 "instrument notify" -2.0 0.0
2032:174:00:30:00.000 2032:269:07:30:00.000 8233200.000 1087864269.184 1096097469.184 "no action" 0.0 40.0
2032:269:07:30:00.000 2033:085:16:30:00.000 15757200.000 1096097469.184 1111854669.184 "instrument notify" -2.0 0.0
2033:085:16:30:00.000 2033:180:10:30:00.000 8186400.000 1111854669.184 1120041069.184 "no action" 0.0 40.0
2033:180:10:30:00.000 2033:186:00:30:00.000 482400.000 1120041069.184 1120523469.184 "instrument notify" -2.0 0.0
2033:186:00:30:00.000 2033:298:06:30:00.000 9698400.000 1120523469.184 1130221869.184 "no action" 0.0 40.0
2033:298:06:30:00.000 2034:084:06:30:00.000 13046400.000 1130221869.184 1143268269.184 "instrument notify" -2.0 0.0
2034:084:06:30:00.000 2034:337:15:30:00.000 21891600.000 1143268269.184 1165159869.184 "no action" 0.0 40.0
2034:337:15:30:00.000 2035:074:04:30:00.000 8773200.000 1165159869.184 1173933069.184 "instrument notify" -2.0 0.0
2035:074:04:30:00.000 2036:020:13:30:00.000 26902800.000 1173933069.184 1200835869.184 "no action" 0.0 40.0
2036:020:13:30:00.000 2036:053:07:30:00.000 2829600.000 1200835869.184 1203665469.184 "instrument notify" -2.0 0.0
2036:053:07:30:00.000 2041:001:00:30:00.000 153334800.000 1203665469.184 1357000269.184 "no action" 0.0 40.0
