row, col, yang, zang
-510, -510, 2538.5, -2541.9 
-510, -467.5, 2541.5, -2334.9 
-510, -425, 2544.3, -2127.2 
-510, -382.5, 2546.8, -1919.0 
-510, -340, 2549.1, -1710.3 
-510, -297.5, 2551.2, -1501.1 
-510, -255, 2553.1, -1291.5 
-510, -212.5, 2554.7, -1081.5 
-510, -170, 2556.2, -871.3 
-510, -127.5, 2557.4, -660.8 
-510, -85, 2558.3, -450.1 
-510, -42.5, 2559.1, -239.3 
-510, 0, 2559.6, -28.5 
-510, 42.5, 2560.0, 182.3 
-510, 85, 2560.0, 393.2 
-510, 127.5, 2559.9, 603.9 
-510, 170, 2559.6, 814.4 
-510, 212.5, 2559.0, 1024.7 
-510, 255, 2558.2, 1234.8 
-510, 297.5, 2557.2, 1444.5 
-510, 340, 2555.9, 1653.9 
-510, 382.5, 2554.5, 1862.8 
-510, 425, 2552.8, 2071.2 
-510, 467.5, 2550.9, 2279.0 
-510, 510, 2548.7, 2486.3 
-467.5, -510, 2331.5, -2544.3 
-467.5, -467.5, 2334.3, -2337.0 
-467.5, -425, 2336.9, -2129.1 
-467.5, -382.5, 2339.2, -1920.7 
-467.5, -340, 2341.4, -1711.7 
-467.5, -297.5, 2343.3, -1502.3 
-467.5, -255, 2345.1, -1292.5 
-467.5, -212.5, 2346.6, -1082.3 
-467.5, -170, 2348.0, -871.8 
-467.5, -127.5, 2349.1, -661.2 
-467.5, -85, 2350.1, -450.3 
-467.5, -42.5, 2350.8, -239.3 
-467.5, 0, 2351.3, -28.2 
-467.5, 42.5, 2351.6, 182.9 
-467.5, 85, 2351.7, 393.9 
-467.5, 127.5, 2351.7, 604.8 
-467.5, 170, 2351.4, 815.6 
-467.5, 212.5, 2350.9, 1026.1 
-467.5, 255, 2350.2, 1236.4 
-467.5, 297.5, 2349.3, 1446.3 
-467.5, 340, 2348.2, 1655.9 
-467.5, 382.5, 2346.8, 1865.0 
-467.5, 425, 2345.3, 2073.7 
-467.5, 467.5, 2343.6, 2281.7 
-467.5, 510, 2341.7, 2489.2 
-425, -510, 2123.9, -2546.4 
-425, -467.5, 2126.5, -2338.9 
-425, -425, 2128.8, -2130.9 
-425, -382.5, 2131.0, -1922.2 
-425, -340, 2133.0, -1713.0 
-425, -297.5, 2134.8, -1503.4 
-425, -255, 2136.5, -1293.4 
-425, -212.5, 2137.9, -1083.0 
-425, -170, 2139.2, -872.4 
-425, -127.5, 2140.2, -661.5 
-425, -85, 2141.1, -450.4 
-425, -42.5, 2141.8, -239.2 
-425, 0, 2142.3, -27.9 
-425, 42.5, 2142.7, 183.4 
-425, 85, 2142.8, 394.6 
-425, 127.5, 2142.8, 605.7 
-425, 170, 2142.5, 816.7 
-425, 212.5, 2142.1, 1027.4 
-425, 255, 2141.5, 1237.9 
-425, 297.5, 2140.7, 1448.0 
-425, 340, 2139.8, 1657.8 
-425, 382.5, 2138.6, 1867.1 
-425, 425, 2137.3, 2076.0 
-425, 467.5, 2135.7, 2284.2 
-425, 510, 2134.0, 2491.9 
-382.5, -510, 1915.7, -2548.3 
-382.5, -467.5, 1918.1, -2340.6 
-382.5, -425, 1920.2, -2132.4 
-382.5, -382.5, 1922.3, -1923.6 
-382.5, -340, 1924.1, -1714.2 
-382.5, -297.5, 1925.8, -1504.4 
-382.5, -255, 1927.3, -1294.2 
-382.5, -212.5, 1928.6, -1083.6 
-382.5, -170, 1929.8, -872.8 
-382.5, -127.5, 1930.8, -661.7 
-382.5, -85, 1931.6, -450.4 
-382.5, -42.5, 1932.3, -239.1 
-382.5, 0, 1932.8, -27.6 
-382.5, 42.5, 1933.1, 183.8 
-382.5, 85, 1933.3, 395.2 
-382.5, 127.5, 1933.3, 606.6 
-382.5, 170, 1933.1, 817.7 
-382.5, 212.5, 1932.8, 1028.6 
-382.5, 255, 1932.3, 1239.3 
-382.5, 297.5, 1931.6, 1449.6 
-382.5, 340, 1930.8, 1659.6 
-382.5, 382.5, 1929.8, 1869.1 
-382.5, 425, 1928.6, 2078.1 
-382.5, 467.5, 1927.3, 2286.5 
-382.5, 510, 1925.8, 2494.4 
-340, -510, 1707.0, -2549.9 
-340, -467.5, 1709.1, -2342.1 
-340, -425, 1711.1, -2133.7 
-340, -382.5, 1713.0, -1924.7 
-340, -340, 1714.6, -1715.2 
-340, -297.5, 1716.2, -1505.2 
-340, -255, 1717.6, -1294.9 
-340, -212.5, 1718.8, -1084.1 
-340, -170, 1719.9, -873.1 
-340, -127.5, 1720.8, -661.9 
-340, -85, 1721.6, -450.5 
-340, -42.5, 1722.3, -238.9 
-340, 0, 1722.8, -27.3 
-340, 42.5, 1723.1, 184.3 
-340, 85, 1723.3, 395.9 
-340, 127.5, 1723.3, 607.4 
-340, 170, 1723.2, 818.7 
-340, 212.5, 1723.0, 1029.8 
-340, 255, 1722.6, 1240.6 
-340, 297.5, 1722.0, 1451.1 
-340, 340, 1721.3, 1661.2 
-340, 382.5, 1720.5, 1870.9 
-340, 425, 1719.5, 2080.0 
-340, 467.5, 1718.3, 2288.7 
-340, 510, 1717.0, 2496.7 
-297.5, -510, 1497.8, -2551.4 
-297.5, -467.5, 1499.7, -2343.4 
-297.5, -425, 1501.5, -2134.9 
-297.5, -382.5, 1503.2, -1925.7 
-297.5, -340, 1504.7, -1716.1 
-297.5, -297.5, 1506.1, -1506.0 
-297.5, -255, 1507.4, -1295.4 
-297.5, -212.5, 1508.5, -1084.6 
-297.5, -170, 1509.5, -873.4 
-297.5, -127.5, 1510.4, -662.0 
-297.5, -85, 1511.2, -450.4 
-297.5, -42.5, 1511.8, -238.8 
-297.5, 0, 1512.2, -27.0 
-297.5, 42.5, 1512.6, 184.8 
-297.5, 85, 1512.8, 396.5 
-297.5, 127.5, 1512.9, 608.1 
-297.5, 170, 1512.9, 819.6 
-297.5, 212.5, 1512.7, 1030.8 
-297.5, 255, 1512.4, 1241.8 
-297.5, 297.5, 1511.9, 1452.4 
-297.5, 340, 1511.4, 1662.7 
-297.5, 382.5, 1510.7, 1872.5 
-297.5, 425, 1509.8, 2081.8 
